response_id;client_id;client_code;score;nps_class;created_at;submitted_at;tipo_de_forms;typeform_response_id
43be13df-84b7-4d34-9d29-9080d604f1b0;93c29331-0e86-44ee-a332-e8bb92a442d1;QV00923;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-20T12:55:55+00:00;NPS;hz55byfqbchpyxh8iz7wlqeg73iclw7v
c53f1317-3dfb-4a30-893b-730941987c24;7e69403b-1cd9-4e85-8242-49088dd35092;QV01771;8;neutro;2026-06-27T20:47:17.367061+00:00;2026-06-26T12:56:47+00:00;NPS;ki2prnp4j5axj5hki27iz2d7gleykqj0
e2504eac-ba90-4533-92bf-76fbc2940134;01749103-30b7-4ac5-8acb-1fae1ae7d957;QV00200;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-26T12:25:45+00:00;NPS;9b734i8i0x2vu2rj9b730kip5z57gk7x
ba6883a0-9b94-4a68-b80c-6bf431365810;dc3fdb2c-d61b-49ef-a60e-92db48e8d588;QV00716;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-26T12:19:51+00:00;NPS;5vi2ydm2a8zl2m5vi2unvpsr3mr1kpnv
8e655583-1af7-4f36-ad9b-b488af90741d;ef4e1267-9cb4-475d-989c-d1dae4da8a59;QV00294;8;neutro;2026-06-27T20:47:17.367061+00:00;2026-06-26T05:46:34+00:00;NPS;drp3e74ghq627a93ridrp3e7kz3n62fq
5188afe6-0008-4133-a28c-f8267cc5af9c;bafa21ea-3573-4aa0-bfb8-cae2532a3841;QV02833;5;detrator;2026-06-27T20:47:17.367061+00:00;2026-06-25T20:08:47+00:00;NPS;75wl38xvexz3036z99n75wl3ey0atzt5
874e3c68-c78b-470c-8072-683f4ff60ac9;51cf3aeb-c935-49eb-9bf8-64ac2e5cb321;QV02828;0;detrator;2026-06-27T20:47:17.367061+00:00;2026-06-25T19:38:10+00:00;NPS;4yuui902t2z1jw2ds4yuuu3ocdwv97ni
0e19a781-5d01-4dfb-85ca-48085cba2e3a;666472e5-5243-42d7-8916-41668ec60d0c;QV02475;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-25T16:52:29+00:00;NPS;vto80mafgyeh579gvtq4vto80mld3csi
ee295cd1-6b43-40ba-97d1-734b319b01e2;99efa1e4-a694-41af-98fb-9a9fd77d63e0;QV00710;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-25T16:17:52+00:00;NPS;8pqqgcfu37qb08sb5dfvdp08pqqgv4x6
801b870c-632e-4550-aea8-29c64154888d;576fb0f8-6e72-4abf-8a58-058850cfb1be;QV01733;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-25T15:40:59+00:00;NPS;8rxamy8jjj6as90qy8rxnywz4g16n5b7
34352c01-d2dd-4a1d-b184-de80de399ea2;c7648907-7574-4e7a-a0f2-e8311dc78393;QV01237;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-25T15:03:13+00:00;NPS;e4f1p5o9jk53cgaynype4f1p5o8ywj7e
dd492378-3471-478d-81aa-d5fcca97de2d;6ce80c20-678f-40a0-bf8e-f4ab6fcbec68;QV00499;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-25T14:35:53+00:00;NPS;z8oe1te2hcok6n9z8oe1io0vw12fqj5v
68466997-31e0-4f68-a8ef-8cf61b4b65df;933aea3f-56e2-4452-8626-f1822f96e416;QV03175;5;detrator;2026-06-27T20:47:17.367061+00:00;2026-06-25T12:08:20+00:00;NPS;mj01c18zpfmlcnppq7altmj01c18cjx2
dc4208df-ce43-4426-b09b-89193f4f1a3b;04811d6e-78c8-497a-b9f0-6eaa637bcc3b;QV00801;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-24T14:47:20+00:00;NPS;bi51bw2fa288extgqxcdbi51bwu8i2pn
65e247e5-e7ec-44b7-9ca9-45786e8d2570;b8e2336a-b2b5-4b86-91d3-8a30a87524de;QV02690;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-24T14:14:32+00:00;NPS;5tg44bv6rsdufxwwv5tg45zhf2xuwd4u
9d746e99-620b-4ddd-9009-33d01f162fc5;cfbb14b9-b93e-4378-9f90-a1e80b4ac63c;QV01880;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-24T13:04:10+00:00;NPS;p2405f43adreky5wsp2405q402hr9hdx
4c7c917a-2d50-44d5-8f57-2b785c4cf6eb;74ccbe84-e3a9-468a-bf7d-00e69bf6beae;QV00045;8;neutro;2026-06-27T20:47:17.367061+00:00;2026-06-24T00:17:20+00:00;NPS;v51038yr774ms4civ510zjeqgh5u5dpf
a68e5859-cd86-45bb-ade0-bec9dc23264b;1123a713-517f-462c-8bfb-0c061c25d071;QV00931;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T23:13:13+00:00;NPS;x9z58zuvporheg8pcx9z58ofwsglbr56
9b72f5c1-7e6e-4c71-a615-73c7bd088d8f;d85cb2e8-3738-44ec-84ce-4368a9469a74;QV00133;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T22:21:39+00:00;NPS;a2kg3iyo775s2oplqa2kg3jpo74ifxov
85999820-441b-4d3d-9911-fd9ab1e5a2f9;58c5a13d-bd92-464f-a3aa-7ad892e43d22;QV01427;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T21:19:48+00:00;NPS;jc010kkfqybukmw7kc0jc010b41fbzbq
1bec0519-fe95-4bce-8f34-50e919f84084;156ba9dd-2074-4c65-88ff-87e47f296978;QV00424;8;neutro;2026-06-27T20:47:17.367061+00:00;2026-06-18T21:19:31+00:00;NPS;7a78by0g6icojzroqgv14r7a78b75sgb
0e583c67-61d9-48ba-8c13-b4ef31255a31;b943011b-aed8-4db9-943f-cc59b7e51377;QV02445;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T19:24:22+00:00;NPS;ktdwkqodiyu1s0knz6dktdwkqabbi8qn
223f8bfe-3851-407b-ba15-c4d9be12728e;7ca5fcca-273d-4b1a-acc6-aa31ff63c5c5;QV00983;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T19:06:17+00:00;NPS;oggcqypvfujrptht8uoggcqyppklyp18
fc22e542-5f7a-48ee-aae1-c4c57f460c65;63ce9ef8-dccb-4e63-b687-5550e15fedea;QV00174;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T18:34:52+00:00;NPS;ekphdfzpl6smghiekphd2gt3pvg30ldy
513b88e0-8c03-4af4-a729-136156cb72d6;65f6d117-5866-4a25-9884-6c5dc58d0c59;QV02932;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T17:39:35+00:00;NPS;2d1sbl5xlq07pdau2vj2d1sspxkysauo
79384952-9bd5-44e9-8054-7026a9d4bc1e;6f8b4236-7cd9-4669-92a3-bc60ea33fd13;QV02665;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T17:02:52+00:00;NPS;8g36nn23w3g7nyi8g36nxpw2bmzvc2si
42649452-8c26-448d-9b6b-d38b86f0cc68;39b2c6a5-1050-4f8a-a6fd-d5aa29b522a4;QV00006;9;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T16:04:24+00:00;NPS;rup6i3gbdriz1me8m5rup6dc5iwdv2iw
591d925b-a296-44a3-b794-8211fa7395b0;1e4549ce-714f-42e3-97da-18cd3dea1347;QV01504;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T15:10:14+00:00;NPS;rw1hcvbaj53g7v1bdrw1sukwkxq055qu
bda83ea7-6d13-4880-bce9-cf8c2ed909a2;d7bc9000-c87d-4fc3-ac34-5c7d713a528e;QV00102;8;neutro;2026-06-27T20:47:17.367061+00:00;2026-06-23T14:44:38+00:00;NPS;a9zjf47oie40ad39xnta9zjf47o7jixp
1cd114fe-692e-46f3-93fa-8c1bfacb77fc;4d6b0fac-b3ce-4149-9bab-fd087e04510b;QV00649;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T14:41:12+00:00;NPS;q3ra7aw4fofynwe1w0fq3ra2q8i3tdeh
e2b27e1e-497d-4a67-8897-79118ab41fe9;c0846bb1-806f-4973-9fd3-48dac42cc3cf;QV00634;10;promotor;2026-06-27T20:47:17.367061+00:00;2026-06-23T14:41:44+00:00;NPS;y9pe3ufjjdzoykxvewzy9pe3vwvyovtw
